 0.07000  3.4461930000 5
 0.08000  3.4527050000 5
 0.09000  3.4591920000 5
 0.10000  3.4656530000 5
 0.11000  3.4720880000 5
 0.12000  3.4784950000 5
 0.13000  3.4848730000 5
 0.14000  3.4912220000 5
 0.15000  3.4975390000 5
 0.16000  3.5038250000 5
 0.17000  3.5100780000 5
 0.18000  3.5162970000 5
 0.19000  3.5224810000 5
 0.20000  3.5286290000 5
 0.21000  3.5347390000 5
 0.22000  3.5408100000 5
 0.23000  3.5468420000 5
 0.24000  3.5528320000 5
 0.25000  3.5587800000 5
 0.26000  3.5646850000 5
 0.27000  3.5705450000 5
 0.28000  3.5763580000 5
 0.29000  3.5821240000 5
 0.30000  3.5878410000 5

-0.30000  3.3439290000 6
-0.29000  3.3488480000 6
-0.28000  3.3536300000 6
-0.27000  3.3582630000 6
-0.26000  3.3627380000 6
-0.25000  3.3670410000 6
-0.24000  3.3711620000 6
-0.23000  3.3750880000 6
-0.22000  3.3788080000 6
-0.21000  3.3823110000 6
-0.20000  3.3855870000 6
-0.19000  3.3886260000 6
-0.18000  3.3914190000 6
-0.17000  3.3939610000 6
-0.16000  3.3962440000 6
-0.15000  3.3982670000 6
-0.14000  3.4000270000 6
-0.13000  3.4015250000 6
-0.12000  3.4027630000 6
-0.11000  3.4037450000 6
-0.10000  3.4044770000 6
-0.09000  3.4049660000 6
-0.08000  3.4052200000 6
-0.07000  3.4052490000 6
-0.06000  3.4050610000 6
-0.05000  3.4046690000 6
-0.04000  3.4040820000 6
-0.03000  3.4033110000 6
-0.02000  3.4023670000 6
-0.01000  3.4012600000 6
 0.00000  3.4000000000 6
 0.01000  3.3985970000 6
 0.02000  3.3970590000 6
 0.03000  3.3953950000 6
 0.04000  3.3936150000 6
 0.05000  3.3917240000 6
 0.06000  3.3897310000 6
 0.07000  3.3876420000 6
 0.08000  3.3854630000 6
 0.09000  3.3832010000 6
 0.10000  3.3808600000 6
 0.11000  3.3784470000 6
 0.12000  3.3759650000 6
 0.13000  3.3734190000 6
 0.14000  3.3708140000 6
 0.15000  3.3681530000 6
 0.16000  3.3654410000 6
 0.17000  3.3626800000 6
 0.18000  3.3598750000 6
 0.19000  3.3570280000 6
 0.20000  3.3541420000 6
 0.21000  3.3512210000 6
 0.22000  3.3482680000 6
 0.23000  3.3452850000 6
 0.24000  3.3422760000 6
 0.25000  3.3392420000 6
 0.26000  3.3361860000 6
 0.27000  3.3331120000 6
 0.28000  3.3300220000 6
 0.29000  3.3269190000 6
 0.30000  3.3238050000 6

-0.30000  3.4802990000 7
-0.29000  3.4814450000 7
-0.28000  3.4825600000 7
-0.27000  3.4836410000 7
-0.26000  3.4846870000 7
-0.25000  3.4856930000 7
-0.24000  3.4866550000 7
-0.23000  3.4875610000 7
-0.22000  3.4883910000 7
-0.21000  3.4890940000 7
-0.20000  3.4895090000 7
-0.19000  3.4890370000 7
-0.18000  3.4866130000 7
-0.17000  3.4828300000 7
-0.16000  3.4785950000 7
-0.15000  3.4741740000 7
-0.14000  3.4696450000 7
-0.13000  3.4650370000 7
-0.12000  3.4603610000 7
-0.11000  3.4556240000 7
-0.10000  3.4508290000 7
-0.09000  3.4459800000 7
-0.08000  3.4410760000 7
-0.07000  3.4361200000 7
-0.06000  3.4311120000 7
-0.05000  3.4260520000 7
-0.04000  3.4209410000 7
-0.03000  3.4157800000 7
-0.02000  3.4105690000 7
-0.01000  3.4053090000 7
 0.00000  3.4000000000 7
 0.01000  3.3946430000 7
 0.02000  3.3892370000 7
 0.03000  3.3837850000 7
 0.04000  3.3782860000 7
 0.05000  3.3727410000 7
 0.06000  3.3671510000 7
 0.07000  3.3615160000 7
 0.08000  3.3558380000 7
 0.09000  3.3501170000 7
 0.10000  3.3443550000 7
 0.11000  3.3385510000 7
 0.12000  3.3327080000 7
 0.13000  3.3268260000 7
 0.14000  3.3209060000 7
 0.15000  3.3149500000 7
 0.16000  3.3089600000 7
 0.17000  3.3029360000 7
 0.18000  3.2968800000 7
 0.19000  3.2907940000 7
 0.20000  3.2846790000 7
 0.21000  3.2785380000 7
 0.22000  3.2723710000 7
